Author,Title,Type_of_Ban,Secondary Author(s),State,District,Date of Challenge/Removal,Origin of Challenge,Latitude,Longitude
"Àbíké-Íyímídé, Faridah",Ace of Spades,Banned in Libraries and Classrooms,,Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Acevedo, Elizabeth",Clap When You Land,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-31,Administrator,41.203323,-77.194527
"Acevedo, Elizabeth",The Poet X,Banned in Libraries,,Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Acevedo, Elizabeth",The Poet X,Banned in Libraries and Classrooms,,New York,Marlboro Central School District,2022-02-01,Administrator,43.0,-75.0
"Acevedo, Elizabeth",The Poet X,Banned Pending Investigation,,Texas,Fredericksburg Independent School District,2022-03-01,Administrator,31.0,-100.0
"Acevedo, Elizabeth",The Poet X,Banned in Libraries,,Virginia,New Kent County Public Schools,2021-10-01,Administrator,37.926868,-78.024902
"Aciman, André",Call Me By Your Name (Call Me By Your Name Series),Banned Pending Investigation,,Virginia,Spotsylvania County Public Schools,2021-11-01,Administrator,37.926868,-78.024902
"Acito, Marc","How I Paid for College: A Novel of Sex, Theft, Friendship & Musical Theater (Edward Zanni Series)",Banned Pending Investigation,,Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Ada, Alma Flor",My Name Is María Isabel,Banned Pending Investigation,,Florida,Duval County Public Schools,2022-01-01,Administrator,27.994402,-81.760254
"Addasi, Maha",Time to Pray,Banned Pending Investigation,,Florida,Duval County Public Schools,2022-01-01,Administrator,27.994402,-81.760254
"Adeyemi, Tomi",Children of Blood and Bone (Legacy of Orïsha Series),Banned Pending Investigation,,Texas,Katy Independent School District,2022-01-01,Administrator,31.0,-100.0
"Adeyoha, Koja","47,000 Beads",Banned in Classrooms,"Adeyoha, Angel",Pennsylvania,Central York School District,2021-08-31,Administrator,41.203323,-77.194527
"Adichie, Chimamanda Ngozi",Half of a Yellow Sun,Banned in Classrooms,,Michigan,Hudsonville Public Schools,2022-01-01,Formal Challenge,44.182205,-84.506836
"Adler, Dahlia",Cool for the Summer,Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Agell, Charlotte",The Accidental Adventures of India McAllister,Banned in Libraries,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Ahmadi, Arvin",How It All Blew Up,Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Ahmadi, Arvin",How It All Blew Up,Banned Pending Investigation,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Ahmed, Roda",Mae Among the Stars,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Ahmed, Samira","Love, Hate & Other Filters",Banned in Libraries,,Mississippi,Madison County Schools,2022-04-01,Administrator,33.0,-90.0
"Ahmed, Samira","Love, Hate & Other Filters",Banned in Libraries,,Wisconsin,School District of Waukesha,2021-12-01,Administrator,44.5,-89.5
"Ahmed, Sara K.",Being the Change: Lessons and Strategies to Teach Social Comprehension,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Ahmed, Sara K.",Being the Change: Lessons and Strategies to Teach Social Comprehension,Banned Pending Investigation,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Albertalli, Becky",Here's to Us,Banned Pending Investigation,"Silvera, Adam",Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Albertalli, Becky",Kate in Waiting,Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Albertalli, Becky",Leah on the Offbeat (Simonverse Series),Banned in Libraries and Classrooms,,Idaho,Nampa School District,2022-05-01,Administrator,44.068203,-114.742043
"Albertalli, Becky",Leah on the Offbeat (Simonverse Series),Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Albertalli, Becky","Love, Creekwood: A Simonverse Novella (Simonverse Series)",Banned in Libraries,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda (Simonverse Series),Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda (Simonverse Series),Banned Pending Investigation,,Texas,Granbury Independent School District,2022-01-01,Administrator,31.0,-100.0
"Albertalli, Becky",Simon vs. the Homo Sapiens Agenda (Simonverse Series),Banned Pending Investigation,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Albertalli, Becky",The Upside of Unrequited (Simonverse Series),Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Albertalli, Becky",The Upside of Unrequited (Simonverse Series),Banned Pending Investigation,,Texas,Granbury Independent School District,2022-01-01,Administrator,31.0,-100.0
"Albertalli, Becky",The Upside of Unrequited (Simonverse Series),Banned Pending Investigation,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Albertalli, Becky",What If It's Us (What If It's Us Series),Banned Pending Investigation,"Silvera, Adam",Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Albertalli, Becky",What If It's Us (What If It's Us Series),Banned Pending Investigation,"Silvera, Adam",Texas,Granbury Independent School District,2022-01-01,Administrator,31.0,-100.0
"Albertalli, Becky",What If It's Us (What If It's Us Series),Banned Pending Investigation,"Silvera, Adam",Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Aleman, Daniel",Indivisible,Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Alexander, Kwame",The Undefeated,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Alexander, Michelle",The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Alexander, Michelle",The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Banned Pending Investigation,,Texas,Klein Independent School District,2021-12-01,Administrator,31.0,-100.0
"Alexander, Michelle",The New Jim Crow: Mass Incarceration in the Age of Colorblindness,Banned Pending Investigation,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,,Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries and Classrooms,,Florida,Jackson County School District,2022-04-01,Administrator,27.994402,-81.760254
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries and Classrooms,,Florida,Lee County Schools,2022-03-01,Administrator,27.994402,-81.760254
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,Florida,Santa Rosa County District Schools,2022-04-01,Administrator,27.994402,-81.760254
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,,Florida,St. Lucie Public Schools,2022-01-01,Formal Challenge,27.994402,-81.760254
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,Florida,Walton County School District,2022-04-01,Administrator,27.994402,-81.760254
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,,Georgia,Forsyth County Schools,2022-01-01,Administrator,33.247875,-83.441162
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries and Classrooms,,Idaho,Nampa School District,2022-05-01,Administrator,44.068203,-114.742043
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,,Iowa,Ankeny Community School District,2021-11-01,Formal Challenge,42.032974,-93.581543
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,Iowa,Ottumwa Community School District,2022-04-01,Administrator,42.032974,-93.581543
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries and Classrooms,,Kansas,Derby Public Schools,2021-11-01,Formal Challenge,38.5,-98.0
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,Kansas,Goddard Public Schools,2021-11-01,Administrator,38.5,-98.0
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,Michigan,Gladwin Community Schools,2022-05-01,Administrator,44.182205,-84.506836
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned in Libraries,,Mississippi,Madison County Schools,2022-04-01,Administrator,33.0,-90.0
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,Oklahoma,Bristow Public Schools,2021-10-01,Administrator,36.084621,-96.921387
"Alexie, Sherman",The Absolutely True Diary of a Part-Time Indian,Banned Pending Investigation,,Texas,Fredericksburg Independent School District,2022-03-01,Administrator,31.0,-100.0
"Alexie, Sherman",Thunder Boy Jr.,Banned Pending Investigation,,Florida,Duval County Public Schools,2022-01-01,Administrator,27.994402,-81.760254
"Alger, Cristina",Girls Like Us (2019),Banned in Libraries,,Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Alko, Selina",The Case for Loving: The Fight for Interracial Marriage,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Allende, Isabel",The House of the Spirits,Banned Pending Investigation,,Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Alley, Kristy Dallas",The Ballad of Ami Miles,Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Allison, Anthony",Hear These Voices: Youth at the Edge of the Millennium,Banned Pending Investigation,,Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Allman, John Robert",A is for Audra: Broadway's Leading Ladies from A to Z,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Altman, Linda Jacobs","Bioethics: Who Lives, Who Dies, And Who Decides?",Banned Pending Investigation,,Texas,Granbury Independent School District,2022-01-01,Administrator,31.0,-100.0
"Altman, Linda Jacobs","Bioethics: Who Lives, Who Dies, And Who Decides?",Banned in Libraries,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
Amnesty International,We Are All Born Free: The Universal Declaration of Human Rights in Pictures,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Anaya, Rudolfo","Bless Me, Ultima",Banned Pending Investigation,,Oklahoma,Bristow Public Schools,2021-10-01,Administrator,36.084621,-96.921387
"Ancrum, K.",The Weight of the Stars,Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Anders, Charlie Jane",Victories Greater Than Death (Unstoppable Series),Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Anderson, Airlie",Neither,Banned Pending Investigation,,Florida,Duval County Public Schools,2022-01-01,Administrator,27.994402,-81.760254
"Anderson, Carol",White Rage: The Unspoken Truth of Our Racial Divide,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Anderson, Laurie Halse",Shout,Banned Pending Investigation,,Texas,Granbury Independent School District,2022-01-01,Administrator,31.0,-100.0
"Anderson, Laurie Halse",Shout,Banned in Classrooms,,Texas,Leander Independent School District,2021-09-01,Administrator,31.0,-100.0
"Anderson, Laurie Halse",Shout,Banned Pending Investigation,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Anderson, Laurie Halse",Speak,Banned Pending Investigation,,Florida,Flagler Schools,2021-11-01,Administrator,27.994402,-81.760254
"Anderson, Laurie Halse",Speak,Banned Pending Investigation,,Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Anderson, Laurie Halse",Speak,Banned in Libraries and Classrooms,,Idaho,Nampa School District,2022-05-01,Administrator,44.068203,-114.742043
"Anderson, Laurie Halse",Speak,Banned Pending Investigation,,Michigan,Gladwin Community Schools,2022-05-01,Administrator,44.182205,-84.506836
"Anderson, Laurie Halse",Speak,Banned in Libraries,,Mississippi,Madison County Schools,2022-04-01,Administrator,33.0,-90.0
"Anderson, Laurie Halse",Speak,Banned in Libraries,,Oklahoma,Bristow Public Schools,2021-10-01,Administrator,36.084621,-96.921387
"Anderson, M. T.",Feed,Banned Pending Investigation,,Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Andrews, Arin",Some Assembly Required: The Not-So-Secret Life of a Transgender Teen,Banned Pending Investigation,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,Florida,Osceola County School District,2022-04-01,Administrator,27.994402,-81.760254
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,Georgia,Forsyth County Schools,2022-01-01,Administrator,33.247875,-83.441162
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries,,Iowa,Ankeny Community School District,2021-11-01,Formal Challenge,42.032974,-93.581543
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,Pennsylvania,Downingtown Area School District,2021-10-01,Administrator,41.203323,-77.194527
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,Pennsylvania,Elizabethtown Area School District,2022-04-01,Formal Challenge,41.203323,-77.194527
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries,,Tennessee,Blount County Schools,2021-11-01,Formal Challenge,35.860119,-86.660156
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries,,Texas,Cypress-Fairbanks Independent School District,2022-01-01,Administrator,31.0,-100.0
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,Texas,Fredericksburg Independent School District,2022-03-01,Administrator,31.0,-100.0
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,Texas,Granbury Independent School District,2022-01-01,Administrator,31.0,-100.0
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries and Classrooms,,Texas,Katy Independent School District,2021-11-01,Administrator,31.0,-100.0
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned in Libraries,,Texas,Keller Independent School District,2021-11-01,Formal Challenge,31.0,-100.0
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,Texas,Lamar Consolidated Independent School District,2021-12-01,Administrator,31.0,-100.0
"Andrews, Jesse",Me and Earl and the Dying Girl,Banned Pending Investigation,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Andrews, Jesse",The Haters,Banned Pending Investigation,,Florida,Brevard Public Schools,2022-03-01,Administrator,27.994402,-81.760254
"Andrews, Jesse",The Haters,Banned in Libraries,,Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Andrews, Jesse",The Haters,Banned Pending Investigation,,Michigan,Rochester Community Schools District,2022-04-01,Administrator,44.182205,-84.506836
"Andrews, Troy",The 5 O'Clock Band,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Andrews, Troy",Trombone Shorty,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Angelou, Maya",And Still I Rise,Banned Pending Investigation,,Texas,Klein Independent School District,2021-12-01,Administrator,31.0,-100.0
"Angelou, Maya",I Know Why The Caged Bird Sings,Banned in Libraries and Classrooms,,Oklahoma,Bristow Public Schools,2021-10-01,Administrator,36.084621,-96.921387
"Angelou, Maya",I Know Why The Caged Bird Sings,Banned in Libraries and Classrooms,,Oklahoma,Edmond Public Schools,2021-10-01,Administrator,36.084621,-96.921387
"Ansari, Aziz",Modern Romance: An Investigation,Banned Pending Investigation,"Klinenberg, Eric",Missouri,Wentzville School District,2021-10-01,Formal Challenge,38.573936,-92.60376
"Anstey, Cindy",Duels and Deception,Banned in Libraries,,Texas,Katy Independent School District,2022-04-01,Administrator,31.0,-100.0
"Apelqvist, Eva",LGBTQ Families: The Ultimate Teen Guide,Banned Pending Investigation,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Applegate, Katherine",Wishtree,Banned in Libraries and Classrooms,,Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Armentrout, Jennifer L.",Meet Cute: Some People Are Destined to Meet,Banned Pending Investigation,"Clayton, Dhonielle; Cotugno, Katie; Davies, Jocelyn; LaCour, Nina; Lord, Emery; McGee, Katharine; Morgan, Kass; Russo, Meredith; Shepard, Sara; Yoon, Nicola; Zoboi, Ibi; Murphy, Julie",Texas,Granbury Independent School District,2022-01-01,Administrator,31.0,-100.0
"Arnold, Elana K.",A Boy Called Bat (A Boy Called Bat Series),Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Arnold, Elana K.",Bat and the End of Everything (A Boy Called Bat Series),Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Arnold, Elana K.",Bat and the Waiting Game (A Boy Called Bat Series),Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Arnold, Elana K.",Damsel,Banned Pending Investigation,,Florida,Brevard Public Schools,2022-03-01,Administrator,27.994402,-81.760254
"Arnold, Elana K.",Infandous,Banned Pending Investigation,,Florida,Brevard Public Schools,2022-03-01,Administrator,27.994402,-81.760254
"Arnold, Elana K.",Infandous,Banned in Libraries,,Oklahoma,Bristow Public Schools,2021-10-01,Administrator,36.084621,-96.921387
"Arnold, Elana K.",Red Hood,Banned Pending Investigation,,Florida,Brevard Public Schools,2022-03-01,Administrator,27.994402,-81.760254
"Arnold, Elana K.",What Girls Are Made Of,Banned Pending Investigation,,Florida,Brevard Public Schools,2022-03-01,Administrator,27.994402,-81.760254
"Arnold, Elana K.",What Girls Are Made Of,Banned in Libraries and Classrooms,,Texas,Cypress-Fairbanks Independent School District,2022-04-01,Administrator,31.0,-100.0
"Arnold, Elana K.",What Girls Are Made Of,Banned in Libraries and Classrooms,,Texas,Frisco Independent School District,2022-05-01,Administrator,31.0,-100.0
"Asano, Inio",A Girl on the Shore,Banned in Libraries and Classrooms,,Ohio,Hudson City Schools,2021-09-01,Administrator,40.367474,-82.996216
"Asher, Jay",Thirteen Reasons Why,Banned Pending Investigation,,Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Asher, Jay",Thirteen Reasons Why,Banned in Libraries and Classrooms,,Florida,Jackson County School District,2022-04-01,Administrator,27.994402,-81.760254
"Asher, Jay",Thirteen Reasons Why,Banned in Libraries,,Florida,Lee County Schools,2022-05-01,Administrator,27.994402,-81.760254
"Asher, Jay",Thirteen Reasons Why,Banned in Libraries,,Florida,Polk County Public Schools,2022-01-01,Administrator,27.994402,-81.760254
"Asher, Jay",Thirteen Reasons Why,Banned Pending Investigation,,Florida,Santa Rosa County District Schools,2022-04-01,Administrator,27.994402,-81.760254
"Asher, Jay",Thirteen Reasons Why,Banned in Libraries,,Florida,St. Johns County School District,2022-05-01,Formal Challenge,27.994402,-81.760254
"Asher, Jay",Thirteen Reasons Why,Banned in Libraries,,Florida,St. Lucie Public Schools,2021-12-01,Formal Challenge,27.994402,-81.760254
"Asher, Jay",Thirteen Reasons Why,Banned Pending Investigation,,Florida,Walton County School District,2022-04-01,Administrator,27.994402,-81.760254
"Asher, Jay",Thirteen Reasons Why,Banned in Libraries and Classrooms,,Idaho,Nampa School District,2022-05-01,Administrator,44.068203,-114.742043
"Asher, Jay",Thirteen Reasons Why,Banned Pending Investigation,,Michigan,Gladwin Community Schools,2022-05-01,Administrator,44.182205,-84.506836
"Asher, Jay",Thirteen Reasons Why,Banned Pending Investigation,,Texas,Fredericksburg Independent School District,2022-03-01,Administrator,31.0,-100.0
"Asher, Jay",Thirteen Reasons Why,Banned in Libraries,,Texas,Katy Independent School District,2021-10-01,Administrator,31.0,-100.0
Atinuke,Anna Hibiscus (Anna Hibiscus Series),Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Atta, Dean",The Black Flamingo,Banned Pending Investigation,,Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Atta, Dean",The Black Flamingo,Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Atta, Dean",The Black Flamingo,Banned Pending Investigation,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,Florida,Indian River County School District,2021-11-01,Administrator,27.994402,-81.760254
"Atwood, Margaret",The Handmaid's Tale,Banned in Libraries,,Georgia,Forsyth County Schools,2022-01-01,Administrator,33.247875,-83.441162
"Atwood, Margaret",The Handmaid's Tale,Banned in Libraries and Classrooms,,Idaho,Nampa School District,2022-05-01,Administrator,44.068203,-114.742043
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,Kansas,Goddard Public Schools,2021-11-01,Administrator,38.5,-98.0
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,Michigan,Gladwin Community Schools,2022-05-01,Administrator,44.182205,-84.506836
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,Michigan,Rochester Community Schools District,2022-04-01,Administrator,44.182205,-84.506836
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,Texas,Fredericksburg Independent School District,2022-03-01,Administrator,31.0,-100.0
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,Texas,Klein Independent School District,2021-11-01,Administrator,31.0,-100.0
"Atwood, Margaret",The Handmaid's Tale,Banned Pending Investigation,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Banned Pending Investigation,,Kansas,Goddard Public Schools,2021-11-01,Administrator,38.5,-98.0
"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Banned in Libraries,,Oregon,Medford School District 549C,2022-04-01,Formal Challenge,44.0,-120.5
"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Banned in Classrooms,,Texas,Leander Independent School District,2021-09-01,Administrator,31.0,-100.0
"Atwood, Margaret",The Handmaid's Tale: The Graphic Novel,Banned Pending Investigation,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Atwood, Margaret",The Testaments,Banned Pending Investigation,,Kansas,Goddard Public Schools,2021-11-01,Administrator,38.5,-98.0
"Atwood, Margaret",The Testaments,Banned Pending Investigation,,Texas,Fredericksburg Independent School District,2022-03-01,Administrator,31.0,-100.0
"Atwood, Megan",Raise the Stakes,Banned in Libraries,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Austrian, J.J.",Worm Loves Worm,Banned in Classrooms,,Florida,Lee County Schools,2022-03-01,Administrator,27.994402,-81.760254
"Austrian, J.J.",Worm Loves Worm,Banned Pending Investigation,,Florida,Walton County School District,2022-04-01,Administrator,27.994402,-81.760254
"Azmitia, M.",Rising Out,Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Bailey, Jacqui","Sex, Puberty, and All That Stuff: A Guide to Growing Up",Banned in Libraries,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Baldacchino, Christine",Morris Micklewhite and the Tangerine Dress,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Baldacchino, Christine",Morris Micklewhite and the Tangerine Dress,Banned Pending Investigation,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Banaji, Mahzarin R.",Blindspot: Hidden Biases of Good People,Banned in Classrooms,"Greenwald, Anthony G.",Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Barakiva, Michael",One Man Guy,Banned Pending Investigation,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Bardoe, Cheryl",Nothing Stopped Sophie: The Story of Unshakable Mathematician Sophie Germain,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Bardugo, Leigh",Six of Crows (Six of Crows Series),Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Barnes, Derrick","Brand New School, Brave New Ruby (Ruby and the Booker Boys Series)",Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Barnes, Derrick",Crown: An Ode to the Fresh Cut,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Barnes, Derrick",I Am Every Good Thing,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Barnes, Derrick",Ruby Flips For Attention (Ruby and the Booker Boys Series),Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Barnes, Derrick",Slumber Party Payback (Ruby and the Booker Boys Series),Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Barnes, Derrick","Trivia Queen, 3rd Grade Supreme (Ruby and the Booker Boys Series)",Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Barnwell, Ysaye M.",No Mirrors in My Nana's House: Musical CD and Book,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Barrie, James Matthew",Peter Pan,Banned Pending Investigation,,Tennessee,Hamilton County Schools,2021-10-01,Administrator,35.860119,-86.660156
"Bartoletti, Susan Campbell",They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,Banned Pending Investigation,,Kansas,Goddard Public Schools,2021-11-01,Administrator,38.5,-98.0
"Bartoletti, Susan Campbell",They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,Banned Pending Investigation,,Texas,Granbury Independent School District,2022-01-01,Administrator,31.0,-100.0
"Bartoletti, Susan Campbell",They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,Banned Pending Investigation,,Texas,Klein Independent School District,2021-11-01,Administrator,31.0,-100.0
"Bartoletti, Susan Campbell",They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,Banned Pending Investigation,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Barton, Bree",Heart of Thorns (Heart of Thorns Series),Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Barton, Bree",Soul of Cinder (Heart of Thorns Series),Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Barton, Bree",Tears of Frost (Heart of Thorns Series),Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Barzak, Christopher",Wonders of the Invisible World,Banned Pending Investigation,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
"Bashardoust, Melissa",Girls Made of Snow and Glass,Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Bayron, Kalynn",Cinderella Is Dead,Banned Pending Investigation,,Tennessee,Collierville Schools,2022-02-01,Administrator,35.860119,-86.660156
"Bayron, Kalynn",Cinderella Is Dead,Banned Pending Investigation,,Texas,Granbury Independent School District,2022-01-01,Administrator,31.0,-100.0
"Bayron, Kalynn",Cinderella Is Dead,Banned Pending Investigation,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
