Author,Title,Type_of_Ban,Secondary Author(s),State,District,Date of Challenge/Removal,Origin of Challenge,Latitude,Longitude
"Do, Anh",WeirDo Series: Crazy Weird!,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Do, Anh",WeirDo Series: Even Weirder!,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Do, Anh",WeirDo Series: Extra Weird!,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Do, Anh",WeirDo Series: Hopping Weird!,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Do, Anh",WeirDo Series: Mega Weird!,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Do, Anh",WeirDo Series: Messy Weird!,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Do, Anh",WeirDo Series: Planet Weird,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Do, Anh",WeirDo Series: Really Weird!,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Do, Anh",WeirDo Series: Spinning Weird,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Do, Anh",WeirDo Series: Splashy Weird!,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Do, Anh",WeirDo Series: Spooky Weird!,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Do, Anh",WeirDo Series: Super Weird!,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Do, Anh",WeirDo Series: Tasty Weird!,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Do, Anh",WeirDo Series: Totally Weird!,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Do, Anh",WeirDo Series: Vote Weirdo,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Do, Anh",WeirDo Series: WeirDo,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Do, Anh",WeirDo Series: Weirdomania!,Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Doak, Robin S.",Malala Yousafzai (A True Book: Biographies),Banned in Classrooms,,Pennsylvania,Central York School District,2021-08-01,Administrator,41.203323,-77.194527
"Doeden, Matt","More Than a Game: Race, Gender, and Politics in Sports",Banned Pending Investigation,,Texas,North East Independent School District,2021-12-01,Administrator,31.0,-100.0
